Deprem,Borehole,Fault_Type,Mw,PGA,PGV,PGV2/PGA,lnIa,lnCAV5,R,R_star,Log_LSI,S,W,T15,NT,FC15,D5015,zcr,Vs,Observation,Reference
Alaska (1964),Alaska_1A,Reverse,9.2,0.39,90.94,21.62,,19.75,35,388.18,1.92,0.1,0,20,0,20.33,0.17,11.74,153,244,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_2,Reverse,9.2,0.31,82.76,22.53,,20.29,60,413.18,1.48,0.05,48.98,0,8.98,0,0,16.82,153,191,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_4,Reverse,9.2,0.31,82.76,22.53,,20.29,60,413.18,1.48,0.2,24.59,3.13,1.22,18.5,0.11,1.22,186,185,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_5L,Reverse,9.2,0.39,90.94,21.62,,19.75,35,388.18,1.92,0.1,0,20,0,24.17,0.2,13.34,186,244,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_6,Reverse,9.2,0.31,82.76,22.53,,20.29,60,413.18,1.48,0.2,24.59,4.5,3.13,11,3.66,3.13,186,185,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_8,Reverse,9.2,0.31,82.76,22.53,,20.29,60,413.18,1.48,0.1,16.07,6.49,4.42,26.67,1.23,4.42,186,157,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_10,Reverse,9.2,0.31,82.76,22.53,,20.29,60,413.18,1.48,0.1,16.07,1.52,2.75,14,0.69,10.83,186,157,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_14,Reverse,9.2,0.31,82.76,22.53,,20.29,60,413.18,1.48,0.1,16.07,0,0,0,0,3.05,186,157,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_M-10,Reverse,9.2,0.21,74.26,26.78,,20.8,100,453.18,1.07,0.1,0,12.28,0,1.61,1.61,1.83,182,30,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_M-12,Reverse,9.2,0.21,74.26,26.78,,20.8,100,453.18,1.07,0.05,0,4.34,0,3,1.82,1.52,182,30,"Hasançebi, Si (2000)"
Alaska (1964),Alaska_M-20,Reverse,9.2,0.21,74.26,26.78,,20.8,100,453.18,1.07,0.7,7.03,8.05,2.44,15.17,0.94,4.34,182,137,"Hasançebi, Si (2000)"
Arjantin - San Juan (1977),San_Juan_1,Reverse,7.4,0.2,47.01,11.27,0.48,11.8,10,18.83,1.31,1,0,2,4.73,27.5,0.1,4.73,156,100,"Al Bawwab, Si (2000), Travasarou vd. (2003) Ia alındı."
Arjantin - San Juan (1977),San_Juan_1,Reverse,7.4,0.2,47.01,11.27,0.48,11.8,10,18.83,1.31,1,0,3.02,5.8,20,0.14,12.19,154,100,"Al Bawwab, Si (2000), Travasarou vd. (2003) Ia alındı."
Arjantin - San Juan (1977),San_Juan_1,Reverse,7.4,0.2,47.01,11.27,0.48,11.8,10,18.83,1.31,1,0,5.41,4.8,20,0.14,11,148,200,"Al Bawwab, Si (2000), Travasarou vd. (2003) Ia alındı."
Arjantin - San Juan (1977),San_Juan_6,Reverse,7.4,0.2,47.01,11.27,0.48,11.8,10,18.83,1.31,1,0,5.41,4.8,20,0.14,7,141,100,"Al Bawwab, Si (2000), Travasarou vd. (2003) Ia alındı."
Borah Peak (1983),WS_1,Normal,6.9,0.35,8.01,0.19,-3.68,12.03,78,81.17,-0.8,4,0,3.82,1.52,3.33,5.37,3.35,157,100,"Al Bawwab, Si (2000), Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Borah Peak (1983),PR_2,Normal,6.9,0.6,32.39,1.78,-0.66,10.12,10,13.17,0.86,11,0,1.61,1.01,17.6,10.16,1.74,154,0,"Al Bawwab, Si (2000), Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Borah Peak (1983),WS_3,Normal,6.9,0.6,32.39,1.78,-0.66,10.12,10,13.17,0.86,11,0,3.3,7.01,21.4,4.27,8.08,154,30,"Al Bawwab, Si (2000), Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Borah Peak (1983),WS_4,Normal,6.9,0.6,32.39,1.78,-0.66,10.12,10,13.17,0.86,11,0,2.14,9.36,22.84,4.71,11.43,175,100,"Al Bawwab, Si (2000), Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1692,Strike-Slip,7.1,0.18,39.3,8.75,-0.3,10.46,10,14.78,1.04,0,0.5,7.18,0.32,12.56,0.19,17.25,196,53,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016,, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1696,Strike-Slip,7.1,0.2,44.9,10.28,-2.25,11.73,41,45.78,-0.1,0,0.07,2.6,1.15,22.24,0.14,2.25,196,110,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1704,Strike-Slip,7.1,0.18,44.9,11.42,-2.21,11.7,40,44.78,-0.08,6.25,0.13,3,3.75,32.97,0.13,5.25,196,30,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1707,Strike-Slip,7.1,0.19,44.9,10.82,-2.41,11.82,45,49.78,-0.17,0.5,0,10.5,3.75,6.96,0.19,12.75,196,40,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1716,Strike-Slip,7.1,0.42,43,4.49,-2.37,11.8,44,48.78,-0.16,3.4,0,4.45,0.8,2.32,0.19,2.25,201,30,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1718,Strike-Slip,7.1,0.18,43,10.47,-2.37,11.8,44,48.78,-0.16,1,3,10.45,0.8,4.49,0.19,3.75,201,90,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1719,Strike-Slip,7.1,0.18,43,10.47,-2.37,11.8,44,48.78,-0.16,1.14,0.8,6,3,19.99,0.16,9,201,75,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1785,Strike-Slip,7.1,0.2,43,9.43,-2.37,11.8,44,48.78,-0.16,1.25,10.1,6.3,0.3,17.66,0.21,1.8,201,70,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1786,Strike-Slip,7.1,0.2,43,9.43,-2.37,11.8,44,48.78,-0.16,5,18,2.4,1.8,20.49,0.16,3,201,20,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1787,Strike-Slip,7.1,0.2,43,9.43,-2.37,11.8,44,48.78,-0.16,1.83,19,1.5,3.75,4.71,0.19,3.75,201,125,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1791,Strike-Slip,7.1,0.18,43,10.47,-2.37,11.8,44,48.78,-0.16,2.5,33,1.2,5.4,35.84,0.14,5.4,201,33,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1792,Strike-Slip,7.1,0.19,43,9.92,-2.37,11.8,44,48.78,-0.16,2.18,0.8,12.05,0.2,7.3,0.23,0.2,201,40,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1805,Strike-Slip,7.1,0.2,35.7,6.5,-2.25,11.73,41,45.78,-0.1,0.6,0.96,7.25,0.55,2.99,0.19,1.8,257,90,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1808,Strike-Slip,7.1,0.21,35.7,6.19,-2.25,11.73,41,45.78,-0.1,0,6.4,4.5,2.25,6.98,0.19,3.75,257,135,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1812,Strike-Slip,7.1,0.23,35.7,5.65,-2.25,11.73,41,45.78,-0.1,0.1,0,5.7,0.9,11.33,0.19,1.8,257,64,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1816,Strike-Slip,7.1,0.2,35.7,6.5,-2.25,11.73,41,45.78,-0.1,1,0.5,5.45,1.3,38.94,0.1,11.25,257,180,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1818,Strike-Slip,7.1,0.2,35.7,6.5,-2.25,11.73,41,45.78,-0.1,0.8,0.35,4.75,0.5,27.72,0.15,0.5,257,170,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1819,Strike-Slip,7.1,0.2,35.7,6.5,-2.25,11.73,41,45.78,-0.1,0.94,0.6,6,2.25,6.75,0.19,2.25,257,95,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),15050,Strike-Slip,7.1,0.2,44.9,10.28,-2.33,11.77,43,47.78,-0.14,0.1,0,1.5,3.75,6.8,0.19,3.75,196,16,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),1876,Strike-Slip,7.1,0.2,44.9,10.28,-2.33,11.77,43,47.78,-0.14,2.8,6,4.5,3.75,1.74,0.19,5.25,196,64,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),10391,Strike-Slip,7.1,0.2,36.2,6.68,-2.23,11.72,40.5,45.28,-0.09,0,0,7.8,6,6.11,0.19,11.25,197,46,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),15050,Strike-Slip,7.1,0.2,44.9,10.28,-2.33,11.77,43,47.78,-0.14,0.7,0,3.75,5.25,5.94,0.19,19.125,196,15,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),15643,Strike-Slip,7.1,0.17,35.7,7.64,-2.25,11.73,41,45.78,-0.1,1.6,0.5,3,3.75,8.54,0.19,5.25,257,70,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),15644,Strike-Slip,7.1,0.17,35.7,7.64,-2.25,11.73,41,45.78,-0.1,2.5,1.25,3.63,0.12,18.01,0.27,0.12,257,36,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),15710,Strike-Slip,7.1,0.22,35.7,5.91,-2.25,11.73,41,45.78,-0.1,0.7,1,1.65,0.6,41.15,0.1,0.6,257,136,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),16801,Strike-Slip,7.1,0.23,35.7,5.65,-2.25,11.73,41,45.78,-0.1,2,0,2.25,3.75,33.47,0.17,3.75,257,43,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),16806,Strike-Slip,7.1,0.17,35.7,7.64,-2.25,11.73,41,45.78,-0.1,2.3,0,3.6,0.15,25.7,0.31,0.15,257,100,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),21492,Strike-Slip,7.1,0.21,44.9,9.79,-2.33,11.77,43,47.78,-0.14,2.5,2.7,4.5,2.25,7.48,0.19,3.75,196,160,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),21858,Strike-Slip,7.1,0.22,35.7,5.91,-2.25,11.73,41,45.78,-0.1,0,0.4,2,1.5,12.18,0.19,1.5,257,84,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),21861,Strike-Slip,7.1,0.2,35.7,6.5,-2.25,11.73,41,45.78,-0.1,1,0.3,3.1,2.23,7.92,0.19,2.225,257,86,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),21862,Strike-Slip,7.1,0.2,35.7,6.5,-2.25,11.73,41,45.78,-0.1,1,0.4,1.7,0.8,4.54,0.19,4.5,257,90,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Darfield (2010),44714,Strike-Slip,7.1,0.18,35.7,7.22,-2.25,11.73,41,45.78,-0.1,0,1.64,4.5,2.25,11.77,0.25,2.25,257,58,"NZGD, Robinson 2016, Bradley 2012, Bradley 2016, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),NT-BH-3,Reverse,7.6,0.43,79.24,14.89,0.87,12.39,7.5,20.8,1.72,1,10,3,4,19,0.16,5.3,194,157,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),NT-BH-4,Reverse,7.6,0.43,79.24,14.89,0.87,12.39,7.5,20.8,1.72,1,10,2.8,5,34,1.59,5,194,157,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),NT-BH-5,Reverse,7.6,0.43,79.24,14.89,0.87,12.39,7.5,20.8,1.72,1,10,3.1,2.8,13.5,0.37,2.5,194,157,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),NT-BH-6,Reverse,7.6,0.43,79.24,14.89,0.87,12.39,7.5,20.8,1.72,1,10,0,1.6,0,0,1.6,194,157,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),NT-BH-7,Reverse,7.6,0.43,79.24,14.89,0.87,12.39,7.5,20.8,1.72,1,10,4.3,0.7,20,0.39,0.7,194,157,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),NT-BH-12,Reverse,7.6,0.43,79.24,14.89,0.87,12.39,7.5,20.8,1.72,1,10,1.75,4.65,35,0.12,4.65,194,157,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
Chi Chi (1999),NT-BH-14,Reverse,7.6,0.43,79.24,14.89,0.87,12.39,7.5,20.8,1.72,1,10,5,1.5,30,0.1,1.5,194,157,"Hasançebi, Travasarou vd. (2003) Fault type buradan alındı, Travasarou vd. (2003) Ia alındı."
